query_id;time_horizon;sceanrio_time;profile;query_duration;query_start;query_end;query_status
nan;2D;2018-11-20 23:30:00+01:00;SV;3,0;2018-12-07 15:41:32.803129;2018-12-07 15:41:35.896898;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: a583879b-e780-4d8c-95ca-51816edfc6b1
nan;2D;2018-11-21 00:30:00+01:00;SV;3,0;2018-12-07 15:41:35.912530;2018-12-07 15:41:38.998560;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 93369cfc-5a62-479e-9526-981fbc5fcbae
pyquery_0.1_47412c98-1cd2-4620-8947-1ffce9bcefe2;2D;2018-11-21 12:30:00+01:00;SV;2,0;2018-12-07 15:42:14.218147;2018-12-07 15:42:16.280692;OK
pyquery_0.1_f7cb9a7c-a711-49dd-b094-acb2dbf4b0f7;2D;2018-11-22 00:30:00+01:00;SV;3,0;2018-12-07 15:42:48.407759;2018-12-07 15:42:51.485983;OK
pyquery_0.1_b8db45b9-e1d8-47b3-970e-9e9d8feda074;2D;2018-11-22 01:30:00+01:00;SV;3,0;2018-12-07 15:42:51.501544;2018-12-07 15:42:54.579731;OK
pyquery_0.1_47a438ca-2f7e-46a7-8fc8-0217d7c01ad4;2D;2018-11-22 02:30:00+01:00;SV;3,0;2018-12-07 15:42:54.579731;2018-12-07 15:42:57.689146;OK
pyquery_0.1_e6f31ebc-d1c3-448e-b34d-e04fd6d87985;2D;2018-11-22 03:30:00+01:00;SV;3,0;2018-12-07 15:42:57.689146;2018-12-07 15:43:00.814181;OK
pyquery_0.1_7ee36d02-45d7-43ad-9257-849552b5f1da;2D;2018-11-22 04:30:00+01:00;SV;3,0;2018-12-07 15:43:00.829817;2018-12-07 15:43:03.939241;OK
pyquery_0.1_e5ed4170-5e63-4490-975a-10516db2ffd3;2D;2018-11-22 05:30:00+01:00;SV;3,0;2018-12-07 15:43:03.954860;2018-12-07 15:43:06.033043;OK
pyquery_0.1_0a2331b1-36d2-4292-945b-ffd23ecf7b7a;2D;2018-11-22 06:30:00+01:00;SV;3,0;2018-12-07 15:43:06.048653;2018-12-07 15:43:09.142451;OK
pyquery_0.1_5965e8e8-90e5-4ed8-bf8e-932bf0d2f26e;2D;2018-11-22 07:30:00+01:00;SV;2,0;2018-12-07 15:43:09.142451;2018-12-07 15:43:11.236210;OK
pyquery_0.1_2110edd6-21fb-4830-8a48-30a730e2e701;2D;2018-11-22 08:30:00+01:00;SV;3,0;2018-12-07 15:43:11.236210;2018-12-07 15:43:14.361256;OK
pyquery_0.1_b39206db-cfb2-4689-9e39-fef9024f744e;2D;2018-11-22 09:30:00+01:00;SV;2,0;2018-12-07 15:43:14.376883;2018-12-07 15:43:16.470666;OK
pyquery_0.1_cf83389b-4a11-4059-adbe-7d69d3e596b2;2D;2018-11-22 10:30:00+01:00;SV;2,0;2018-12-07 15:43:16.486297;2018-12-07 15:43:18.595736;OK
pyquery_0.1_993838d3-97d3-4c5a-91f6-bf0b7eedd3fd;2D;2018-11-22 11:30:00+01:00;SV;2,0;2018-12-07 15:43:18.611346;2018-12-07 15:43:20.767605;OK
pyquery_0.1_727b8a30-6f60-4768-accc-6dc6bfd6bdaf;2D;2018-11-22 12:30:00+01:00;SV;2,0;2018-12-07 15:43:20.767605;2018-12-07 15:43:22.892651;OK
pyquery_0.1_5b10c6d6-cc50-4bbe-9791-49091c116f83;2D;2018-11-22 13:30:00+01:00;SV;3,0;2018-12-07 15:43:22.908259;2018-12-07 15:43:25.158293;OK
pyquery_0.1_9272adf4-fb04-4da1-816e-0dcf981afe9a;2D;2018-11-22 14:30:00+01:00;SV;2,0;2018-12-07 15:43:25.158293;2018-12-07 15:43:27.252103;OK
pyquery_0.1_50d58e55-ed18-45a5-8138-fa53b6572737;2D;2018-11-22 15:30:00+01:00;SV;2,0;2018-12-07 15:43:27.267710;2018-12-07 15:43:29.345868;OK
pyquery_0.1_933be1ca-332d-45d7-b26e-557647d344cc;2D;2018-11-22 16:30:00+01:00;SV;2,0;2018-12-07 15:43:29.345868;2018-12-07 15:43:31.424055;OK
pyquery_0.1_f5ae28d7-838a-4087-b513-07227c1e36f6;2D;2018-11-22 17:30:00+01:00;SV;2,0;2018-12-07 15:43:31.439638;2018-12-07 15:43:33.580317;OK
pyquery_0.1_710149f3-ed56-4bbf-a4a8-0516112415bd;2D;2018-11-22 18:30:00+01:00;SV;3,0;2018-12-07 15:43:33.580317;2018-12-07 15:43:36.720972;OK
